iter	Passed	Remaining
0	57	57535
1	57	28928
2	58	19393
3	58	14603
4	59	11746
5	59	9827
6	59	8458
7	59	7436
8	60	6648
9	60	6005
10	61	5484
11	61	5049
12	61	4679
13	61	4364
14	62	4088
15	62	3846
16	62	3633
17	63	3445
18	63	3280
19	63	3128
20	64	2990
21	64	2863
22	64	2748
23	65	2645
24	65	2552
25	65	2464
26	66	2381
27	66	2304
28	66	2235
29	67	2170
30	67	2109
31	67	2053
32	68	2000
33	68	1949
34	68	1900
35	69	1852
36	69	1808
37	69	1765
38	70	1725
39	70	1689
40	70	1653
41	71	1619
42	71	1587
43	71	1555
44	71	1526
45	72	1496
46	72	1468
47	72	1442
48	72	1416
49	73	1393
50	73	1370
51	73	1347
52	74	1325
53	74	1304
54	74	1284
55	75	1265
56	75	1246
57	75	1228
58	75	1210
59	76	1192
60	76	1176
61	76	1160
62	76	1145
63	77	1130
64	77	1115
65	77	1101
66	78	1088
67	78	1076
68	78	1065
69	79	1053
70	79	1041
71	79	1029
72	80	1018
73	80	1007
74	80	997
75	81	987
76	81	978
77	81	967
78	82	957
79	82	947
80	82	938
81	83	929
82	83	918
83	83	910
84	83	902
85	84	894
86	84	887
87	84	879
88	85	871
89	85	863
90	85	855
91	85	848
92	86	840
93	86	833
94	86	825
95	87	819
96	87	812
97	87	806
98	87	800
99	88	794
100	88	788
101	88	781
102	89	775
103	89	769
104	89	763
105	89	758
106	90	752
107	90	747
108	90	742
109	91	737
110	91	732
111	91	727
112	92	722
113	92	717
114	92	712
115	92	707
116	93	702
117	93	697
118	93	694
119	94	690
120	94	686
121	94	681
122	94	676
123	95	672
124	95	668
125	95	664
126	95	659
127	96	655
128	96	651
129	96	648
130	97	644
131	97	641
132	97	637
133	98	633
134	98	629
135	98	626
136	98	622
137	99	618
138	99	615
139	99	612
140	99	608
141	100	605
142	100	601
143	100	599
144	101	596
145	101	593
146	101	590
147	102	587
148	102	584
149	102	581
150	102	578
151	103	575
152	103	572
153	103	569
154	103	566
155	104	563
156	104	561
157	104	558
158	105	555
159	105	553
160	105	550
161	105	547
162	106	544
163	106	542
164	106	540
165	107	537
166	107	535
167	107	532
168	107	530
169	108	528
170	108	526
171	109	525
172	109	522
173	109	520
174	109	518
175	110	516
176	110	514
177	111	512
178	111	510
179	111	508
180	111	506
181	112	504
182	112	502
183	112	500
184	113	498
185	113	496
186	113	494
187	114	492
188	114	490
189	114	488
190	114	486
191	115	484
192	115	482
